Key Name	Virtual Key Code (Hex)	Virtual Key Code (Decimal)	Extended
LButton	1	1	no
RButton	2	2	no
MButton	4	4	no
Button4	5	5	no
Button5	6	6	no
Backspace	8	8	no
Tab	9	9	no
WheelForward	A	10	no
WheelBackward	B	11	no
Clear	C	12	no
Enter	D	13	no
Shift	10	16	no
Ctrl	11	17	no
Alt	12	18	no
Pause	13	19	no
CapsLock	14	20	no
Kana	15	21	no
Hangul	15	21	no
Junja	17	23	no
Final	18	24	no
Hanja	19	25	no
Kanji	19	25	no
Esc	1B	27	no
Convert	1C	28	no
NoConvert	1D	29	no
Accept	1E	30	no
ModeChange	1F	31	no
Space	20	32	no
NumpadPgUp	21	33	no
NumpadPgDn	22	34	no
NumpadEnd	23	35	no
NumpadHome	24	36	no
NumpadLeft	25	37	no
NumpadUp	26	38	no
NumpadRight	27	39	no
NumpadDown	28	40	no
Select	29	41	no
Print	2A	42	no
Execute	2B	43	no
NumpadInsert	2D	45	no
NumpadDelete	2E	46	no
Help	2F	47	no
0	30	48	no
1	31	49	no
2	32	50	no
3	33	51	no
4	34	52	no
5	35	53	no
6	36	54	no
7	37	55	no
8	38	56	no
9	39	57	no
A	41	65	no
B	42	66	no
C	43	67	no
D	44	68	no
E	45	69	no
F	46	70	no
G	47	71	no
H	48	72	no
I	49	73	no
J	4A	74	no
K	4B	75	no
L	4C	76	no
M	4D	77	no
N	4E	78	no
O	4F	79	no
P	50	80	no
Q	51	81	no
R	52	82	no
S	53	83	no
T	54	84	no
U	55	85	no
V	56	86	no
W	57	87	no
X	58	88	no
Y	59	89	no
Z	5A	90	no
Numpad0	60	96	no
Numpad1	61	97	no
Numpad2	62	98	no
Numpad3	63	99	no
Numpad4	64	100	no
Numpad5	65	101	no
Numpad6	66	102	no
Numpad7	67	103	no
Numpad8	68	104	no
Numpad9	69	105	no
Multiply	6A	106	no
NumpadPlus	6B	107	no
Separator	6C	108	no
NumpadMinus	6D	109	no
Decimal	6E	110	no
F1	70	112	no
F2	71	113	no
F3	72	114	no
F4	73	115	no
F5	74	116	no
F6	75	117	no
F7	76	118	no
F8	77	119	no
F9	78	120	no
F10	79	121	no
F11	7A	122	no
F12	7B	123	no
F13	7C	124	no
F14	7D	125	no
F15	7E	126	no
F16	7F	127	no
F17	80	128	no
F18	81	129	no
F19	82	130	no
F20	83	131	no
F21	84	132	no
F22	85	133	no
F23	86	134	no
F24	87	135	no
ScrollLock	91	145	no
OemNecEqual	92	146	no
OemFjMasshou	93	147	no
OemFjTouroku	94	148	no
OemFjLoya	95	149	no
OemFjRoya	96	150	no
LShift	A0	160	no
RShift	A1	161	no
LCtrl	A2	162	no
RCtrl	A3	163	no
LAlt	A4	164	no
RAlt	A5	165	no
Oem1	BA	186	no
Plus	BB	187	no
Comma	BC	188	no
Minus	BD	189	no
Period	BE	190	no
Oem2	BF	191	no
Oem3	C0	192	no
Oem4	DB	219	no
Oem5	DC	220	no
Oem6	DD	221	no
Oem7	DE	222	no
Oem8	DF	223	no
OemAx	E1	225	no
Oem102	E2	226	no
IcoHelp	E3	227	no
Ico00	E4	228	no
ProcessKey	E5	229	no
IcoClear	E6	230	no
Packet	E7	231	no
OemReset	E9	233	no
OemJump	EA	234	no
OemPa1	EB	235	no
OemPa2	EC	236	no
OemPa3	ED	237	no
OemWsCtrl	EE	238	no
OemCuSel	EF	239	no
OemAttn	F0	240	no
OemFinish	F1	241	no
OemCopy	F2	242	no
OemAuto	F3	243	no
OemEnlw	F4	244	no
OemBackTab	F5	245	no
Attn	F6	246	no
CrSel	F7	247	no
ExSel	F8	248	no
EREOF	F9	249	no
Play	FA	250	no
Zoom	FB	251	no
NoName	FC	252	no
Pa1	FD	253	no
OemClear	FE	254	no
Cancel	3	3	yes
NumpadEnter	D	13	yes
PgUp	21	33	yes
PgDn	22	34	yes
End	23	35	yes
Home	24	36	yes
Left	25	37	yes
Up	26	38	yes
Right	27	39	yes
Down	28	40	yes
PrintScreen	2C	44	yes
Insert	2D	45	yes
Delete	2E	46	yes
LWin	5B	91	yes
RWin	5C	92	yes
Apps	5D	93	yes
Sleep	5F	95	yes
Divide	6F	111	yes
NumLock	90	144	yes
RShift	A1	161	yes
RCtrl	A3	163	yes
RAlt	A5	165	yes
BrowserBack	A6	166	yes
BrowserForward	A7	167	yes
BrowserRefresh	A8	168	yes
BrowserStop	A9	169	yes
BrowserSearch	AA	170	yes
BrowserFavorites	AB	171	yes
BrowserHome	AC	172	yes
Mute	AD	173	yes
VolumeDown	AE	174	yes
VolumeUp	AF	175	yes
MediaNextTrack	B0	176	yes
MediaPrevTrack	B1	177	yes
MediaStop	B2	178	yes
MediaPlayPause	B3	179	yes
Mail	B4	180	yes
MediaSelect	B5	181	yes
LaunchApp1	B6	182	yes
LaunchApp2	B7	183	yes